SOC2digit,Occupation,Occupation,Empl(PlaceofWork),Probability,Order
Legal (23-0000),Paralegals and Legal Assistants,Paralegals and Legal Assistants (23-2011),480.1531168,0.94,9
Healthcare Support (31-0000),Dental Assistants,Dental Assistants (31-9091),1045.143726,0.51,10
Healthcare Support (31-0000),Home Health Aides,Home Health Aides (31-1011),1254.487418,0.39,10
Healthcare Support (31-0000),Massage Therapists,Massage Therapists (31-9011),566.8914858,0.54,10
Healthcare Support (31-0000),Medical Assistants,Medical Assistants (31-9092),1854.984094,0.3,10
Healthcare Support (31-0000),Medical Equipment Preparers,Medical Equipment Preparers (31-9093),171.9064437,0.78,10
Healthcare Support (31-0000),Medical Transcriptionists,Medical Transcriptionists (31-9094),125.7462048,0.89,10
Healthcare Support (31-0000),Occupational Therapy Aides,Occupational Therapy Aides (31-2012),18.9392791,0.27,10
Healthcare Support (31-0000),Occupational Therapy Assistants,Occupational Therapy Assistants (31-2011),84.61473907,0.028,10
Healthcare Support (31-0000),Pharmacy aides,Pharmacy Aides (31-9095),87.97123598,0.72,10
Healthcare Support (31-0000),Physical Therapist Aides,Physical Therapist Aides (31-2022),110.6053569,0.61,10
Healthcare Support (31-0000),Physical Therapist Assistants,Physical Therapist Assistants (31-2021),178.9524316,0.018,10
Healthcare Support (31-0000),Psychiatric Aides,Psychiatric Aides (31-1013),33.26616688,0.47,10
Healthcare Support (31-0000),Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers (31-9096),312.4605278,0.86,10
Protective Service (33-0000),Animal Control Workers,Animal Control Workers (33-9011),21.05877556,0.21,11
Protective Service (33-0000),Bailiffs,Bailiffs (33-3011),17.55876593,0.36,11
Protective Service (33-0000),Correctional Officers and Jailers,Correctional Officers and Jailers (33-3012),914.0965155,0.6,11
Protective Service (33-0000),Crossing Guards,Crossing Guards (33-9091),228.3423829,0.49,11
Protective Service (33-0000),Detectives and Criminal Investigators,Detectives and Criminal Investigators (33-3021),237.7055335,0.34,11
Protective Service (33-0000),Fire Inspectors and Investigators,Fire Inspectors and Investigators (33-2021),18.22509401,0.48,11
Protective Service (33-0000),Firefighters,Firefighters (33-2011),770.4272998,0.17,11
Protective Service (33-0000),First-Line Supervisors of Correctional Officers,First-Line Supervisors of Correctional Officers (33-1011),94.59757455,0.025,11
Protective Service (33-0000),First-Line Supervisors of Fire Fighting and Prevention Workers,First-Line Supervisors of Fire Fighting and Prevention Workers (33-1021),242.4083058,0.0036,11
Protective Service (33-0000),First-Line Supervisors of Police and Detectives,First-Line Supervisors of Police and Detectives (33-1012),257.7954713,0.0044,11
Protective Service (33-0000),Fish and Game Wardens,Fish and Game Wardens (33-3031),8.170922961,0.08,11
Protective Service (33-0000),Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialists (33-2022),3.562796133,0.048,11
Protective Service (33-0000),Gaming Surveillance Officers and Gaming Investigators,Gaming Surveillance Officers and Gaming Investigators (33-9031),30.96493927,0.95,11
Protective Service (33-0000),"Lifeguards, ski patrol, and other recreational protective service workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers (33-9092)",287.3173888,0.67,11
Protective Service (33-0000),Parking Enforcement Workers,Parking Enforcement Workers (33-3041),19.6632814,0.84,11
Protective Service (33-0000),Police and Sheriff’s Patrol Officers,Police and Sheriffs Patrol Officers (33-3051),1064.708593,0.098,11
Protective Service (33-0000),Private Detectives and Investigators,Private Detectives and Investigators (33-9021),81.74603694,0.31,11
Protective Service (33-0000),Security Guards,Security Guards (33-9032),2276.717869,0.84,11
Protective Service (33-0000),Transit and Railroad Police,Transit and Railroad Police (33-3052),10.03562867,0.57,11
Personal Care and Service (39-0000),Amusement and recreation attendants,Amusement and Recreation Attendants (39-3091),614.6453041,0.72,12
Personal Care and Service (39-0000),Animal Trainers,Animal Trainers (39-2011),81.04416371,0.1,12
Personal Care and Service (39-0000),Baggage Porters and Bellhops,Baggage Porters and Bellhops (39-6011),38.88340795,0.83,12
Personal Care and Service (39-0000),Barbers,Barbers (39-5011),128.3493624,0.8,12
Personal Care and Service (39-0000),Childcare Workers,Childcare Workers (39-9011),1798.605511,0.084,12
Personal Care and Service (39-0000),Concierges,Concierges (39-6012),52.78501891,0.21,12
Personal Care and Service (39-0000),Costume Attendants,Costume Attendants (39-3092),4.126656093,0.61,12
Personal Care and Service (39-0000),Embalmers,Embalmers (39-4011),4.664636767,0.54,12
Personal Care and Service (39-0000),First-Line Supervisors of Personal Service Workers,First-Line Supervisors of Personal Service Workers (39-1021),676.9179453,0.076,12
Personal Care and Service (39-0000),Fitness Trainers and Aerobics Instructors,Fitness Trainers and Aerobics Instructors (39-9031),787.3035497,0.085,12
Personal Care and Service (39-0000),Funeral Attendants,Funeral Attendants (39-4021),17.30919601,0.37,12
Personal Care and Service (39-0000),Gaming and Sports Book Writers and Runners,Gaming and Sports Book Writers and Runners (39-3012),22.19930654,0.91,12
Personal Care and Service (39-0000),Gaming Dealers,Gaming Dealers (39-3011),348.5650088,0.96,12
Personal Care and Service (39-0000),Gaming Supervisors,Gaming Supervisors (39-1011),97.43870923,0.28,12
Personal Care and Service (39-0000),"Hairdressers, Hairstylists, and Cosmetologists","Hairdressers, Hairstylists, and Cosmetologists (39-5012)",1602.137205,0.11,12
Personal Care and Service (39-0000),"Locker Room, Coatroom, and Dressing Room Attendants","Locker Room, Coatroom, and Dressing Room Attendants (39-3093)",25.08074823,0.43,12
Personal Care and Service (39-0000),"Makeup Artists, Theatrical and Performance","Makeup Artists, Theatrical and Performance (39-5091)",3.715339758,0.01,12
Personal Care and Service (39-0000),Manicurists and Pedicurists,Manicurists and Pedicurists (39-5092),400.1854071,0.95,12
Personal Care and Service (39-0000),Motion Picture Projectionists,Motion Picture Projectionists (39-3021),10.41210869,0.97,12
Personal Care and Service (39-0000),Nonfarm Animal Caretakers,Nonfarm Animal Caretakers (39-2021),509.8598153,0.82,12
Personal Care and Service (39-0000),Personal care aides,Personal Care Aides (39-9021),6246.727647,0.74,12
Personal Care and Service (39-0000),Recreation Workers,Recreation Workers (39-9032),949.3064599,0.0061,12
Personal Care and Service (39-0000),Residential Advisors,Residential Advisors (39-9041),216.084689,0.064,12
Personal Care and Service (39-0000),Shampooers,Shampooers (39-5093),51.24511531,0.79,12
Personal Care and Service (39-0000),Skincare Specialists,Skincare Specialists (39-5094),168.4499973,0.29,12
Personal Care and Service (39-0000),Slot Supervisors,Slot Supervisors (39-1012),33.13364613,0.54,12
Personal Care and Service (39-0000),Tour Guides and Escorts,Tour Guides and Escorts (39-7011),236.3716324,0.91,12
Personal Care and Service (39-0000),Travel Guides,Travel Guides (39-7012),6.217366888,0.057,12
Personal Care and Service (39-0000),"Ushers, Lobby Attendants, and Ticket Takers","Ushers, Lobby Attendants, and Ticket Takers (39-3031)",257.994944,0.96,12
Business and Financial Operations (13-0000),Accountants and Auditors,Accountants and Auditors (13-2011),2835.089587,0.94,13
Business and Financial Operations (13-0000),"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes (13-1011)",8.277463955,0.24,13
Business and Financial Operations (13-0000),Appraisers and Assessors of Real Estate,Appraisers and Assessors of Real Estate (13-2021),146.4153671,0.9,13
Business and Financial Operations (13-0000),Budget Analysts,Budget Analysts (13-2031),81.22266025,0.94,13
Business and Financial Operations (13-0000),"Business Operations Specialists, All Other","Business Operations Specialists, All Other (13-1199)",2733.910508,0.23,13
Business and Financial Operations (13-0000),"Buyers and Purchasing Agents, Farm Products","Buyers and Purchasing Agents, Farm Products (13-1021)",20.66952827,0.87,13
Business and Financial Operations (13-0000),"Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators (13-1031)",671.8262626,0.98,13
Business and Financial Operations (13-0000),"Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists (13-1141)",141.6573222,0.47,13
Business and Financial Operations (13-0000),Compliance Officers,Compliance Officers (13-1041),684.0389369,0.08,13
Business and Financial Operations (13-0000),Cost Estimators,Cost Estimators (13-1051),608.0299727,0.57,13
Business and Financial Operations (13-0000),Credit Analysts,Credit Analysts (13-2041),95.24681478,0.98,13
Business and Financial Operations (13-0000),Credit Counselors,Credit Counselors (13-2071),49.92853786,0.04,13
Business and Financial Operations (13-0000),Farm Labor Contractors,Farm Labor Contractors (13-1074),2.03751157,0.97,13
Business and Financial Operations (13-0000),Financial Analysts,Financial Analysts (13-2051),382.7678553,0.23,13
Business and Financial Operations (13-0000),Financial Examiners,Financial Examiners (13-2061),40.39524509,0.17,13
Business and Financial Operations (13-0000),"Financial Specialists, All Other","Financial Specialists, All Other (13-2099)",228.334814,0.33,13
Business and Financial Operations (13-0000),"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage (13-1032)",44.21011953,0.98,13
Business and Financial Operations (13-0000),Insurance Underwriters,Insurance Underwriters (13-2053),207.6143642,0.99,13
Business and Financial Operations (13-0000),Loan Officers,Loan Officers (13-2072),549.2468446,0.98,13
Business and Financial Operations (13-0000),Logisticians,Logisticians (13-1081),356.0384093,0.012,13
Business and Financial Operations (13-0000),Management Analysts,Management Analysts (13-1111),1516.486601,0.13,13
Business and Financial Operations (13-0000),Market Research Analysts and Marketing Specialists,Market Research Analysts and Marketing Specialists (13-1161),1062.004239,0.61,13
Business and Financial Operations (13-0000),"Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners (13-1121)",225.5732484,0.037,13
Business and Financial Operations (13-0000),Personal Financial Advisors,Personal Financial Advisors (13-2052),295.2194626,0.58,13
Business and Financial Operations (13-0000),"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products (13-1023)",525.4887071,0.77,13
Business and Financial Operations (13-0000),"Tax Examiners and Collectors, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents (13-2081)",79.98022162,0.93,13
Business and Financial Operations (13-0000),Tax Preparers,Tax Preparers (13-2082),169.4766177,0.99,13
Business and Financial Operations (13-0000),Training and Development Specialists,Training and Development Specialists (13-1151),554.1081616,0.014,13
Business and Financial Operations (13-0000),"Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products (13-1022)",260.1729478,0.29,13
"Installation, Maintenance, and Repair (49-0000)",Aircraft mechanics and service technicians,Aircraft Mechanics and Service Technicians (49-3011),172.0389754,0.71,14
"Installation, Maintenance, and Repair (49-0000)",Automotive Body and Related Repairers,Automotive Body and Related Repairers (49-3021),456.7372703,0.91,14
"Installation, Maintenance, and Repair (49-0000)",Automotive Glass Installers and Repairers,Automotive Glass Installers and Repairers (49-3022),80.37228268,0.55,14
"Installation, Maintenance, and Repair (49-0000)",Automotive Service Technicians and Mechanics,Automotive Service Technicians and Mechanics (49-3023),1989.280535,0.59,14
"Installation, Maintenance, and Repair (49-0000)",Avionics technicians,Avionics Technicians (49-2091),63.15176941,0.7,14
"Installation, Maintenance, and Repair (49-0000)",Bicycle Repairers,Bicycle Repairers (49-3091),45.53418828,0.94,14
"Installation, Maintenance, and Repair (49-0000)",Bus and truck mechanics and diesel engine specialists,Bus and Truck Mechanics and Diesel Engine Specialists (49-3031),650.0372695,0.73,14
"Installation, Maintenance, and Repair (49-0000)",Camera and Photographic Equipment Repairers,Camera and Photographic Equipment Repairers (49-9061),6.394597094,0.97,14
"Installation, Maintenance, and Repair (49-0000)","Coin, Vending, and Amusement Machine Servicers and Repairers","Coin, Vending, and Amusement Machine Servicers and Repairers (49-9091)",61.88755522,0.94,14
"Installation, Maintenance, and Repair (49-0000)",Commercial Divers,Commercial Divers (49-9092),10.05618244,0.18,14
"Installation, Maintenance, and Repair (49-0000)","Computer, automated teller, and office machine repairers","Computer, Automated Teller, and Office Machine Repairers (49-2011)",201.8776981,0.74,14
"Installation, Maintenance, and Repair (49-0000)","Control and Valve Installers and Repairers, Except Mechanical Door","Control and Valve Installers and Repairers, Except Mechanical Door (49-9012)",39.68321605,0.63,14
"Installation, Maintenance, and Repair (49-0000)","Electric Motor, Power Tool, and Related Repairers","Electric Motor, Power Tool, and Related Repairers (49-2092)",41.39496786,0.76,14
"Installation, Maintenance, and Repair (49-0000)","Electrical and Electronics Installers and Repairers, Transportation Equipment","Electrical and Electronics Installers and Repairers, Transportation Equipment (49-2093)",26.51411538,0.91,14
"Installation, Maintenance, and Repair (49-0000)","Electrical and Electronics Repairers, Commercial and Industrial Equipment","Electrical and Electronics Repairers, Commercial and Industrial Equipment (49-2094)",119.4590828,0.41,14
"Installation, Maintenance, and Repair (49-0000)","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay (49-2095)",10.38779782,0.38,14
"Installation, Maintenance, and Repair (49-0000)",Electrical Power-Line Installers and Repairers,Electrical Power-Line Installers and Repairers (49-9051),168.7086954,0.097,14
"Installation, Maintenance, and Repair (49-0000)","Electronic Equipment Installers and Repairers, Motor Vehicles","Electronic Equipment Installers and Repairers, Motor Vehicles (49-2096)",20.80566154,0.61,14
"Installation, Maintenance, and Repair (49-0000)",Electronic Home Entertainment Equipment Installers and Repairers,Electronic Home Entertainment Equipment Installers and Repairers (49-2097),48.69993187,0.65,14
"Installation, Maintenance, and Repair (49-0000)","Fabric Menders, Except Garment","Fabric Menders, Except Garment (49-9093)",0.876661235,0.96,14
"Installation, Maintenance, and Repair (49-0000)",Farm equipment mechanics and service technicians,Farm Equipment Mechanics and Service Technicians (49-3041),48.70563738,0.75,14
"Installation, Maintenance, and Repair (49-0000)","First-Line Supervisors of Mechanics, Installers, and Repairers","First-Line Supervisors of Mechanics, Installers, and Repairers (49-1011)",1217.679899,0.003,14
"Installation, Maintenance, and Repair (49-0000)","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Heating, Air Conditioning, and Refrigeration Mechanics and Installers (49-9021)",765.0267077,0.65,14
"Installation, Maintenance, and Repair (49-0000)","Helpers–Installation, Maintenance, and Repair Workers","Helpers--Installation, Maintenance, and Repair Workers (49-9098)",195.122837,0.79,14
"Installation, Maintenance, and Repair (49-0000)",Home appliance repairers,Home Appliance Repairers (49-9031),81.36107137,0.72,14
"Installation, Maintenance, and Repair (49-0000)",Industrial machinery mechanics,Industrial Machinery Mechanics (49-9041),598.5972436,0.67,14
"Installation, Maintenance, and Repair (49-0000)",Locksmiths and Safe Repairers,Locksmiths and Safe Repairers (49-9094),57.84682184,0.77,14
"Installation, Maintenance, and Repair (49-0000)","Maintenance and Repair Workers, General","Maintenance and Repair Workers, General (49-9071)",3436.372578,0.64,14
"Installation, Maintenance, and Repair (49-0000)","Maintenance Workers, Machinery","Maintenance Workers, Machinery (49-9043)",78.70977722,0.86,14
"Installation, Maintenance, and Repair (49-0000)",Manufactured Building and Mobile Home Installers,Manufactured Building and Mobile Home Installers (49-9095),7.395568503,0.18,14
"Installation, Maintenance, and Repair (49-0000)",Mechanical Door Repairers,Mechanical Door Repairers (49-9011),63.37509298,0.91,14
"Installation, Maintenance, and Repair (49-0000)",Medical Equipment Repairers,Medical Equipment Repairers (49-9062),104.5570082,0.27,14
"Installation, Maintenance, and Repair (49-0000)",Millwrights,Millwrights (49-9044),144.1622326,0.59,14
"Installation, Maintenance, and Repair (49-0000)","Mobile Heavy Equipment Mechanics, Except Engines","Mobile Heavy Equipment Mechanics, Except Engines (49-3042)",422.2525921,0.4,14
"Installation, Maintenance, and Repair (49-0000)",Motorboat Mechanics and Service Technicians,Motorboat Mechanics and Service Technicians (49-3051),88.6338922,0.66,14
"Installation, Maintenance, and Repair (49-0000)",Motorcycle Mechanics,Motorcycle Mechanics (49-3052),74.10739287,0.79,14
"Installation, Maintenance, and Repair (49-0000)",Musical Instrument Repairers and Tuners,Musical Instrument Repairers and Tuners (49-9063),23.99658014,0.91,14
"Installation, Maintenance, and Repair (49-0000)",Outdoor Power Equipment and Other Small Engine Mechanics,Outdoor Power Equipment and Other Small Engine Mechanics (49-3053),67.96831214,0.93,14
"Installation, Maintenance, and Repair (49-0000)","Radio, Cellular, and Tower Equipment Installers and Repairs","Radio, Cellular, and Tower Equipment Installers and Repairers (49-2021)",38.0864614,0.93,14
"Installation, Maintenance, and Repair (49-0000)",Rail Car Repairers,Rail Car Repairers (49-3043),80.81449098,0.88,14
"Installation, Maintenance, and Repair (49-0000)",Recreational Vehicle Service Technicians,Recreational Vehicle Service Technicians (49-3092),64.66175304,0.59,14
"Installation, Maintenance, and Repair (49-0000)","Refractory Materials Repairers, Except Brickmasons","Refractory Materials Repairers, Except Brickmasons (49-9045)",1.892371848,0.82,14
"Installation, Maintenance, and Repair (49-0000)",Riggers,Riggers (49-9096),57.06334858,0.89,14
"Installation, Maintenance, and Repair (49-0000)",Security and Fire Alarm Systems Installers,Security and Fire Alarm Systems Installers (49-2098),150.0953482,0.82,14
"Installation, Maintenance, and Repair (49-0000)",Signal and Track Switch Repairers,Signal and Track Switch Repairers (49-9097),22.153546,0.9,14
"Installation, Maintenance, and Repair (49-0000)","Telecommunications Equipment Installers and Repairers, Except Line Installers","Telecommunications Equipment Installers and Repairers, Except Line Installers (49-2022)",435.3068417,0.36,14
"Installation, Maintenance, and Repair (49-0000)",Telecommunications Line Installers and Repairers,Telecommunications Line Installers and Repairers (49-9052),185.8606428,0.49,14
"Installation, Maintenance, and Repair (49-0000)",Watch Repairers,Watch Repairers (49-9064),5.468830063,0.99,14
"Installation, Maintenance, and Repair (49-0000)",Tire repairers and changers,Tire Repairers and Changers (49-3093),279.2830156,0.7,14
Construction and Extraction (47-0000),Boilermakers,Boilermakers (47-2011),36.8736508,0.68,15
Construction and Extraction (47-0000),Brickmasons and Blockmasons,Brickmasons and Blockmasons (47-2021),136.5188695,0.82,15
Construction and Extraction (47-0000),Carpenters,Carpenters (47-2031),3203.196199,0.72,15
Construction and Extraction (47-0000),Carpet Installers,Carpet Installers (47-2041),131.0594513,0.87,15
Construction and Extraction (47-0000),Cement Masons and Concrete Finishers,Cement Masons and Concrete Finishers (47-2051),663.8221826,0.94,15
Construction and Extraction (47-0000),Construction and Building Inspectors,Construction and Building Inspectors (47-4011),237.6611235,0.63,15
Construction and Extraction (47-0000),Construction Laborers,Construction Laborers (47-2061),3828.030697,0.88,15
Construction and Extraction (47-0000),Continuous Mining Machine Operators,Continuous Mining Machine Operators (47-5041),9.355910592,0.54,15
Construction and Extraction (47-0000),"Derrick Operators, Oil and Gas","Derrick Operators, Oil and Gas (47-5011)",0.830382959,0.8,15
Construction and Extraction (47-0000),Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installers (47-2081),684.9927043,0.79,15
Construction and Extraction (47-0000),"Earth Drillers, Except Oil and Gas","Earth Drillers, Except Oil and Gas (47-5021)",27.95019391,0.85,15
Construction and Extraction (47-0000),Electricians,Electricians (47-2111),1621.109508,0.15,15
Construction and Extraction (47-0000),Elevator Installers and Repairers,Elevator Installers and Repairers (47-4021),92.12593201,0.39,15
Construction and Extraction (47-0000),"Explosives Workers, Ordnance Handling Experts, and Blasters","Explosives Workers, Ordnance Handling Experts, and Blasters (47-5031)",7.715542355,0.48,15
Construction and Extraction (47-0000),Fence Erectors,Fence Erectors (47-4031),97.89645466,0.92,15
Construction and Extraction (47-0000),First-Line Supervisors of Construction Trades and Extraction Workers,First-line Supervisors of Construction Trades and Extraction Workers (47-1011),1825.096451,0.17,15
Construction and Extraction (47-0000),"Floor Layers, Except Carpet, Wood, and Hard Tiles","Floor Layers, Except Carpet, Wood, and Hard Tiles (47-2042)",50.96471305,0.79,15
Construction and Extraction (47-0000),Floor Sanders and Finishers,Floor Sanders and Finishers (47-2043),21.14148145,0.87,15
Construction and Extraction (47-0000),Glaziers,Glaziers (47-2121),241.4546728,0.73,15
Construction and Extraction (47-0000),Hazardous Materials Removal Workers,Hazardous Materials Removal Workers (47-4041),182.6012908,0.53,15
Construction and Extraction (47-0000),"Helpers–Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters (47-3011)",43.10770142,0.83,15
Construction and Extraction (47-0000),Helpers–Carpenters,Helpers--Carpenters (47-3012),61.77172434,0.92,15
Construction and Extraction (47-0000),Helpers–electricians,Helpers--Electricians (47-3013),26.87691765,0.74,15
Construction and Extraction (47-0000),Helpers–Extraction Workers,Helpers--Extraction Workers (47-5081),7.959335581,0.37,15
Construction and Extraction (47-0000),"Helpers–Painters, Paperhangers, Plasterers, and Stucco Masons","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons (47-3014)",36.59210829,0.94,15
Construction and Extraction (47-0000),"Helpers–Pipelayers, Plumbers, Pipefitters, and Steamfitters","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters (47-3015)",99.31532688,0.57,15
Construction and Extraction (47-0000),Helpers–roofers,Helpers--Roofers (47-3016),44.64993692,0.72,15
Construction and Extraction (47-0000),Highway Maintenance Workers,Highway Maintenance Workers (47-4051),246.5805681,0.87,15
Construction and Extraction (47-0000),"Insulation Workers, Floor, Ceiling, and Wall","Insulation Workers, Floor, Ceiling, and Wall (47-2131)",165.1315126,0.83,15
Construction and Extraction (47-0000),"Insulation Workers, Mechanical","Insulation Workers, Mechanical (47-2132)",94.88765509,0.64,15
Construction and Extraction (47-0000),Mine Cutting and Channeling Machine Operators,Mine Cutting and Channeling Machine Operators (47-5042),4.599021737,0.59,15
Construction and Extraction (47-0000),Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators (47-2073),1086.530386,0.95,15
Construction and Extraction (47-0000),"Painters, construction and maintenance","Painters, Construction and Maintenance (47-2141)",1177.940569,0.75,15
Construction and Extraction (47-0000),Paperhangers,Paperhangers (47-2142),10.0860823,0.87,15
Construction and Extraction (47-0000),"Paving, Surfacing, and Tamping Equipment Operators","Paving, Surfacing, and Tamping Equipment Operators (47-2071)",66.58381356,0.83,15
Construction and Extraction (47-0000),Pile-Driver Operators,Pile-Driver Operators (47-2072),16.26414582,0.82,15
Construction and Extraction (47-0000),Pipelayers,Pipelayers (47-2151),118.4334262,0.62,15
Construction and Extraction (47-0000),Plasterers and Stucco Masons,Plasterers and Stucco Masons (47-2161),54.41880671,0.84,15
Construction and Extraction (47-0000),"Plumbers, Pipefitters, and Steamfitters","Plumbers, Pipefitters, and Steamfitters (47-2152)",1110.730822,0.35,15
Construction and Extraction (47-0000),Rail-Track Laying and Maintenance Equipment Operators,Rail-Track Laying and Maintenance Equipment Operators (47-4061),27.03023778,0.89,15
Construction and Extraction (47-0000),Reinforcing Iron and Rebar Workers,Reinforcing Iron and Rebar Workers (47-2171),60.29447818,0.9,15
Construction and Extraction (47-0000),"Rock Splitters, Quarry","Rock Splitters, Quarry (47-5051)",8.969506841,0.96,15
Construction and Extraction (47-0000),"Roof Bolters, Mining","Roof Bolters, Mining (47-5061)",0.522253799,0.49,15
Construction and Extraction (47-0000),Roofers,Roofers (47-2181),752.8370406,0.9,15
Construction and Extraction (47-0000),"Rotary Drill Operators, Oil and Gas","Rotary Drill Operators, Oil and Gas (47-5012)",5.404492809,0.53,15
Construction and Extraction (47-0000),"Roustabouts, oil and gas","Roustabouts, Oil and Gas (47-5071)",23.32518254,0.68,15
Construction and Extraction (47-0000),Segmental Pavers,Segmental Pavers (47-4091),6.205303288,0.83,15
Construction and Extraction (47-0000),Septic Tank Servicers and Sewer Pipe Cleaners,Septic Tank Servicers and Sewer Pipe Cleaners (47-4071),115.6450798,0.83,15
Construction and Extraction (47-0000),"Service Unit Operators, Oil, Gas, and Mining","Service Unit Operators, Oil, Gas, and Mining (47-5013)",11.58812317,0.93,15
Construction and Extraction (47-0000),Sheet Metal Workers,Sheet Metal Workers (47-2211),377.699387,0.82,15
Construction and Extraction (47-0000),Stonemasons,Stonemasons (47-2022),30.08553438,0.89,15
Construction and Extraction (47-0000),Structural Iron and Steel Workers,Structural Iron and Steel Workers (47-2221),219.1612394,0.83,15
Construction and Extraction (47-0000),Tapers,Tapers (47-2082),240.504745,0.62,15
Construction and Extraction (47-0000),Terrazzo Workers and Finishers,Terrazzo Workers and Finishers (47-2053),10.58541455,0.88,15
Construction and Extraction (47-0000),Tile and marble setters,Tile and Marble Setters (47-2044),163.6246359,0.75,15
Building and Grounds Cleaning and Maintenance (37-0000),First-Line Supervisors of Housekeeping and Janitorial Workers,First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011),447.9892809,0.94,16
Building and Grounds Cleaning and Maintenance (37-0000),"First-LineSupervisors of Landscaping, Lawn Service, and Groundskeeping Workers","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers (37-1012)",306.894646,0.57,16
Building and Grounds Cleaning and Maintenance (37-0000),"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and Cleaners, Except Maids and Housekeeping Cleaners (37-2011)",6189.287653,0.66,16
Building and Grounds Cleaning and Maintenance (37-0000),Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers (37-3011),2411.287763,0.95,16
Building and Grounds Cleaning and Maintenance (37-0000),Maids and housekeeping cleaners,Maids and Housekeeping Cleaners (37-2012),2081.498154,0.69,16
Building and Grounds Cleaning and Maintenance (37-0000),Pest Control Workers,Pest Control Workers (37-2021),158.3466281,0.66,16
Building and Grounds Cleaning and Maintenance (37-0000),"Pesticide Handlers, Sprayers, and Applicators, Vegetation","Pesticide Handlers, Sprayers, and Applicators, Vegetation (37-3012)",52.31898702,0.97,16
Building and Grounds Cleaning and Maintenance (37-0000),Tree Trimmers and Pruners,Tree Trimmers and Pruners (37-3013),102.0030636,0.77,16
Transportation and Material Moving (53-0000),Air Traffic Controllers,Air Traffic Controllers (53-2021),18.07251752,0.11,17
Transportation and Material Moving (53-0000),Aircraft Cargo Handling Supervisors,Aircraft Cargo Handling Supervisors (53-1011),7.281745245,0.066,17
Transportation and Material Moving (53-0000),Airfield operations specialists,Airfield Operations Specialists (53-2022),10.71294864,0.71,17
Transportation and Material Moving (53-0000),"Airline Pilots, Copilots, and Flight Engineers","Airline Pilots, Copilots, and Flight Engineers (53-2011)",12.12102656,0.18,17
Transportation and Material Moving (53-0000),"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Ambulance Drivers and Attendants, Except Emergency Medical Technicians (53-3011)",20.07411801,0.25,17
Transportation and Material Moving (53-0000),Automotive and Watercraft Service Attendants,Automotive and Watercraft Service Attendants (53-6031),322.3378534,0.83,17
Transportation and Material Moving (53-0000),Bridge and Lock Tenders,Bridge and Lock Tenders (53-6011),7.177373433,0.97,17
Transportation and Material Moving (53-0000),"Bus Drivers, School or Special Client","Bus Drivers, School or Special Client (53-3022)",1264.757795,0.89,17
Transportation and Material Moving (53-0000),"Bus drivers, transit and intercity","Bus Drivers, Transit and Intercity (53-3021)",237.6205593,0.67,17
Transportation and Material Moving (53-0000),"Captains, Mates, and Pilots of Water Vessels","Captains, Mates, and Pilots of Water Vessels (53-5021)",157.8384532,0.27,17
Transportation and Material Moving (53-0000),Cleaners of Vehicles and Equipment,Cleaners of Vehicles and Equipment (53-7061),1072.823011,0.37,17
Transportation and Material Moving (53-0000),Commercial Pilots,Commercial Pilots (53-2012),44.92510592,0.55,17
Transportation and Material Moving (53-0000),Conveyor Operators and Tenders,Conveyor Operators and Tenders (53-7011),35.75985812,0.93,17
Transportation and Material Moving (53-0000),Crane and Tower Operators,Crane and Tower Operators (53-7021),160.3839118,0.9,17
Transportation and Material Moving (53-0000),Dredge Operators,Dredge Operators (53-7031),2.735591178,0.92,17
Transportation and Material Moving (53-0000),Driver/Sales Workers,Driver/Sales Workers (53-3031),1112.617457,0.98,17
